athlete1_id,athlete2_id,age_similarity,distance_similarity,recovery_similarity,activity_frequency_similarity,injury_experience_match,social_alignment,communication_compatibility,network_overlap,coaching_alignment,partner_support_similarity,life_event_similarity,residence_similarity,resting_hr_alignment,true_match_score,label
ATH_001,ATH_019,0.0,0.17489329867304004,0.95518861806238,0.7833333333333333,1.0,0.6042665698310026,0.7,0.07499999999999996,0.6666666666666667,0.5,0.28,0.6666666666666667,0.7341777777777782,0.26005029814996805,0
ATH_001,ATH_045,0.0,0.0,0.9291886180623802,0.8166666666666667,1.0,0.4062665698310026,1.0,0.050000000000000044,0.6666666666666667,0.5,0.28,0.6666666666666667,0.7357777777777781,0.2651169648166348,0
ATH_001,ATH_032,0.35,0.87496829867304,0.9410613819376199,0.9833333333333333,0.6,0.4692665698310027,0.7,0.6,0.6666666666666667,0.8333333333333334,0.64,0.8333333333333334,0.9257777777777778,0.576605801407712,1
ATH_001,ATH_027,0.0,0.0,0.83918861806238,0.4833333333333333,0.8,0.5072665698310026,0.7,0.0,0.33333333333333337,0.5,0.07999999999999996,0.5,0.49297777777777807,0.10711696481663466,0
ATH_001,ATH_028,0.25,0.8665766320063734,0.97456138193762,0.95,0.8,0.7002665698310027,0.7,0.7,0.6666666666666667,0.8333333333333334,0.52,0.6666666666666667,0.9942222222222221,0.5307419125188231,0
ATH_001,ATH_038,0.0,0.14752663200637328,0.9816886180623801,0.8833333333333333,1.0,0.31126656983100265,0.7,0.375,0.6666666666666667,0.6666666666666667,0.43999999999999995,0.8333333333333334,0.8097777777777782,0.30311696481663475,0
ATH_001,ATH_005,0.8,0.6625400346602933,0.85531138193762,0.9166666666666666,0.0,0.8672665698310026,0.7,0.8,1.0,0.8333333333333334,0.92,1.0,0.905022222222222,0.6389297134034632,1
ATH_001,ATH_020,0.6,0.6643900346602933,0.87331138193762,0.9,0.19999999999999996,0.34726656983100257,1.0,0.625,0.6666666666666667,1.0,0.76,0.6666666666666667,0.7878222222222218,0.5583463800701298,1
ATH_001,ATH_006,0.0,0.0,0.9416886180623802,0.6833333333333333,1.0,0.20226656983100266,0.7,0.0,0.33333333333333337,0.5,0.31999999999999995,0.6666666666666667,0.6809777777777779,0.22045029814996805,0
ATH_001,ATH_033,0.25,0.48244836799362667,0.7435613819376201,0.8666666666666667,0.0,0.8542665698310026,0.7,0.6,0.6666666666666667,0.8333333333333334,0.4,0.6666666666666667,0.5810222222222217,0.31109915784790765,0
